#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/p2at_met_local.txt /home/point_clouds_registration_benchmark//planetary/p2at_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
27844314100112;2.20462;2.01041;14;0.998923 -0.0439183 -0.0149665 -4.1995 0.0374537 0.953642 -0.298604 -4.05046 0.0273868 0.297722 0.95426 28.6319 0 0 0 1 
27844314100113;2.4063;0.219214;18;0.993618 -0.0756729 0.0836507 -6.98491 0.0880657 0.983811 -0.156076 0.599073 -0.0704858 0.162446 0.984197 16.1784 0 0 0 1 
27844314100114;0.335195;0.178557;14;0.979162 -0.0639304 0.192755 -6.28062 0.0801943 0.99374 -0.0777827 1.86423 -0.186576 0.0916197 0.978159 2.06476 0 0 0 1 
27844314100115;1.83608;0.308884;30;0.99846 0.0553842 -0.00313706 7.64599 -0.0553323 0.998359 0.0147365 -1.16435 0.00394808 -0.0145402 0.999886 -0.779707 0 0 0 1 
27844314100116;1.89876;1.44254;14;0.977843 -0.0254261 0.207791 -2.02065 0.00739733 0.996173 0.0870844 0.773927 -0.20921 -0.0836178 0.974289 -14.0947 0 0 0 1 
27844314100117;2.29451;0.671463;14;0.991768 0.0469877 -0.119112 4.03916 -0.0148636 0.966194 0.257387 -2.353 0.12718 -0.253497 0.958939 -17.6773 0 0 0 1 
27844314100118;2.1601;2.1571;13;0.999739 -0.0169794 0.0153007 -1.29617 0.0172771 0.99966 -0.019538 0.780895 -0.0149638 0.0197972 0.999692 1.7733 0 0 0 1 
27844314100119;1.47956;0.587064;14;0.999766 0.0216364 -0.000721879 2.85596 -0.0215782 0.998652 0.0472135 -0.962945 0.00174243 -0.0471869 0.998885 -5.72825 0 0 0 1 
27844314100120;0.852594;0.476521;14;0.978124 -0.0345009 -0.20514 -4.55745 -0.00942059 0.977792 -0.209365 -3.17375 0.207807 0.206718 0.956077 28.1162 0 0 0 1 
27844314100121;1.87824;0.686358;14;0.998081 -0.0145663 0.0601909 -0.679127 0.0130934 0.999607 0.0247933 0.168604 -0.0605284 -0.0239576 0.997879 -6.52417 0 0 0 1 
27844314100122;1.73464;0.227379;29;0.968859 -0.0247268 -0.246374 -2.53319 0.0222533 0.99967 -0.0128195 1.83455 0.24661 0.00693766 0.96909 8.43245 0 0 0 1 
27844314100124;0.405551;0.179772;19;0.997216 -0.057485 -0.0475008 -5.02988 0.0622956 0.992314 0.106925 1.98017 0.0409891 -0.109586 0.993132 -7.9015 0 0 0 1 
27844314100125;0.438401;0.171746;21;0.906834 -0.0982464 0.409878 -11.0238 0.145467 0.985655 -0.0855798 3.38019 -0.395591 0.13723 0.908117 -1.97956 0 0 0 1 
27844314100126;1.24567;0.171093;44;0.978227 -0.202199 -0.0467747 -19.9337 0.198503 0.977343 -0.0734588 2.83073 0.0605682 0.0625744 0.996201 6.93087 0 0 0 1 
27844314100127;1.48846;1.35667;29;0.999546 -0.00780528 -0.029111 -2.77834 0.00979775 0.997573 0.0689417 -1.12105 0.0285022 -0.0691956 0.997196 -2.82388 0 0 0 1 
27844314100128;1.19785;0.162429;16;0.996704 -0.0184923 -0.0789946 -2.24972 0.0140187 0.998286 -0.0568155 0.426806 0.0799099 0.0555208 0.995255 5.78927 0 0 0 1 
27844314100129;1.23822;0.172459;36;0.989149 0.146511 0.0109225 10.6983 -0.145419 0.986942 -0.0692779 -7.1218 -0.0209298 0.0669378 0.997538 6.40796 0 0 0 1 
